0: Found a hight density position:[4, 8]
0 Worker Positions {'u_2': deque([(14, 4)], maxlen=3)}
0 Found worker w/o resource u_2
0: Doing research! 
1 Worker Positions {'u_2': deque([(14, 4), (15, 4)], maxlen=3)}
2 Worker Positions {'u_2': deque([(14, 4), (15, 4), (15, 4)], maxlen=3)}
34 Looks like a stuck worker u_2 - deque([(14, 10), (14, 10), (14, 10)], maxlen=3)
35 Worker Positions {'u_2': deque([(14, 10), (14, 10), (14, 11)], maxlen=3)}
36 Worker Positions {'u_2': deque([(14, 10), (14, 11), (14, 11)], maxlen=3)}
37 Worker Positions {'u_2': deque([(14, 11), (14, 11), (14, 11)], maxlen=3)}
38 Worker Positions {'u_2': deque([(14, 11), (14, 11), (14, 11)], maxlen=3)}
38 Looks like a stuck worker u_2 - deque([(14, 11), (14, 11), (14, 11)], maxlen=3)
39 Worker Positions {'u_2': deque([(14, 11), (14, 11), (14, 10)], maxlen=3)}
40 Worker Positions {'u_2': deque([(14, 11), (14, 10), (14, 10)], maxlen=3)}
41 Worker Positions {'u_2': deque([(14, 10), (14, 10), (14, 10)], maxlen=3)}
42 Worker Positions {'u_2': deque([(14, 10), (14, 10), (14, 10)], maxlen=3)}
42 Looks like a stuck worker u_2 - deque([(14, 10), (14, 10), (14, 10)], maxlen=3)
43 Worker Positions {'u_2': deque([(14, 10), (14, 10), (14, 11)], maxlen=3)}
44 Worker Positions {'u_2': deque([(14, 10), (14, 11), (14, 11)], maxlen=3)}
45 Worker Positions {'u_2': deque([(14, 11), (14, 11), (14, 10)], maxlen=3)}
46 Worker Positions {'u_2': deque([(14, 11), (14, 10), (14, 10)], maxlen=3)}
47 Worker Positions {'u_2': deque([(14, 10), (14, 10), (14, 9)], maxlen=3)}
48 Worker Positions {'u_2': deque([(14, 10), (14, 9), (14, 9)], maxlen=3)}
49 Worker Positions {'u_2': deque([(14, 9), (14, 9), (14, 8)], maxlen=3)}
50 Worker Positions {'u_2': deque([(14, 9), (14, 8), (14, 8)], maxlen=3)}
51 Worker Positions {'u_2': deque([(14, 8), (14, 8), (14, 7)], maxlen=3)}
52 Worker Positions {'u_2': deque([(14, 8), (14, 7), (14, 7)], maxlen=3)}
53 Worker Positions {'u_2': deque([(14, 7), (14, 7), (14, 6)], maxlen=3)}
54 Worker Positions {'u_2': deque([(14, 7), (14, 6), (14, 6)], maxlen=3)}
55 Worker Positions {'u_2': deque([(14, 6), (14, 6), (14, 6)], maxlen=3)}
55 Looks like a stuck worker u_2 - deque([(14, 6), (14, 6), (14, 6)], maxlen=3)
56 Worker Positions {'u_2': deque([(14, 6), (14, 6), (14, 5)], maxlen=3)}
57 Worker Positions {'u_2': deque([(14, 6), (14, 5), (14, 5)], maxlen=3)}
58 Worker Positions {'u_2': deque([(14, 5), (14, 5), (14, 5)], maxlen=3)}
58 Looks like a stuck worker u_2 - deque([(14, 5), (14, 5), (14, 5)], maxlen=3)
59 Worker Positions {'u_2': deque([(14, 5), (14, 5), (13, 5)], maxlen=3)}
60 Worker Positions {'u_2': deque([(14, 5), (13, 5), (13, 5)], maxlen=3)}
61 Worker Positions {'u_2': deque([(13, 5), (13, 5), (13, 5)], maxlen=3)}
61 Looks like a stuck worker u_2 - deque([(13, 5), (13, 5), (13, 5)], maxlen=3)
62 Worker Positions {'u_2': deque([(13, 5), (13, 5), (14, 5)], maxlen=3)}
63 Worker Positions {'u_2': deque([(13, 5), (14, 5), (14, 5)], maxlen=3)}
64 Worker Positions {'u_2': deque([(14, 5), (14, 5), (14, 5)], maxlen=3)}
64 Looks like a stuck worker u_2 - deque([(14, 5), (14, 5), (14, 5)], maxlen=3)
65 Worker Positions {'u_2': deque([(14, 5), (14, 5), (13, 5)], maxlen=3)}
66 Worker Positions {'u_2': deque([(14, 5), (13, 5), (13, 5)], maxlen=3)}
67 Worker Positions {'u_2': deque([(13, 5), (13, 5), (13, 5)], maxlen=3)}
67 Looks like a stuck worker u_2 - deque([(13, 5), (13, 5), (13, 5)], maxlen=3)
68 Worker Positions {'u_2': deque([(13, 5), (13, 5), (12, 5)], maxlen=3)}
69 Worker Positions {'u_2': deque([(13, 5), (12, 5), (12, 5)], maxlen=3)}
70 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 5)], maxlen=3)}
70 Looks like a stuck worker u_2 - deque([(12, 5), (12, 5), (12, 5)], maxlen=3)
71 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 4)], maxlen=3)}
72 Worker Positions {'u_2': deque([(12, 5), (12, 4), (12, 4)], maxlen=3)}
73 Worker Positions {'u_2': deque([(12, 4), (12, 4), (12, 4)], maxlen=3)}
74 Worker Positions {'u_2': deque([(12, 4), (12, 4), (12, 4)], maxlen=3)}
74 Looks like a stuck worker u_2 - deque([(12, 4), (12, 4), (12, 4)], maxlen=3)
75 Worker Positions {'u_2': deque([(12, 4), (12, 4), (12, 5)], maxlen=3)}
76 Worker Positions {'u_2': deque([(12, 4), (12, 5), (12, 5)], maxlen=3)}
77 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 5)], maxlen=3)}
78 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 5)], maxlen=3)}
78 Looks like a stuck worker u_2 - deque([(12, 5), (12, 5), (12, 5)], maxlen=3)
79 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 6)], maxlen=3)}
80 Worker Positions {'u_2': deque([(12, 5), (12, 6), (12, 6)], maxlen=3)}
81 Worker Positions {'u_2': deque([(12, 6), (12, 6), (12, 6)], maxlen=3)}
82 Worker Positions {'u_2': deque([(12, 6), (12, 6), (12, 6)], maxlen=3)}
82 Looks like a stuck worker u_2 - deque([(12, 6), (12, 6), (12, 6)], maxlen=3)
83 Worker Positions {'u_2': deque([(12, 6), (12, 6), (13, 6)], maxlen=3)}
84 Worker Positions {'u_2': deque([(12, 6), (13, 6), (13, 6)], maxlen=3)}
85 Worker Positions {'u_2': deque([(13, 6), (13, 6), (13, 5)], maxlen=3)}
86 Worker Positions {'u_2': deque([(13, 6), (13, 5), (13, 5)], maxlen=3)}
87 Worker Positions {'u_2': deque([(13, 5), (13, 5), (13, 5)], maxlen=3)}
87 Looks like a stuck worker u_2 - deque([(13, 5), (13, 5), (13, 5)], maxlen=3)
88 Worker Positions {'u_2': deque([(13, 5), (13, 5), (12, 5)], maxlen=3)}
89 Worker Positions {'u_2': deque([(13, 5), (12, 5), (12, 5)], maxlen=3)}
90 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 5)], maxlen=3)}
90 Looks like a stuck worker u_2 - deque([(12, 5), (12, 5), (12, 5)], maxlen=3)
91 Worker Positions {'u_2': deque([(12, 5), (12, 5), (11, 5)], maxlen=3)}
92 Worker Positions {'u_2': deque([(12, 5), (11, 5), (11, 5)], maxlen=3)}
93 Worker Positions {'u_2': deque([(11, 5), (11, 5), (11, 5)], maxlen=3)}
93 Looks like a stuck worker u_2 - deque([(11, 5), (11, 5), (11, 5)], maxlen=3)
94 Worker Positions {'u_2': deque([(11, 5), (11, 5), (12, 5)], maxlen=3)}
95 Worker Positions {'u_2': deque([(11, 5), (12, 5), (12, 5)], maxlen=3)}
96 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 5)], maxlen=3)}
96 Looks like a stuck worker u_2 - deque([(12, 5), (12, 5), (12, 5)], maxlen=3)
97 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 6)], maxlen=3)}
98 Worker Positions {'u_2': deque([(12, 5), (12, 6), (12, 6)], maxlen=3)}
99 Worker Positions {'u_2': deque([(12, 6), (12, 6), (12, 6)], maxlen=3)}
99 Looks like a stuck worker u_2 - deque([(12, 6), (12, 6), (12, 6)], maxlen=3)
100 Worker Positions {'u_2': deque([(12, 6), (12, 6), (12, 7)], maxlen=3)}
101 Worker Positions {'u_2': deque([(12, 6), (12, 7), (12, 7)], maxlen=3)}
102 Worker Positions {'u_2': deque([(12, 7), (12, 7), (12, 7)], maxlen=3)}
102 Looks like a stuck worker u_2 - deque([(12, 7), (12, 7), (12, 7)], maxlen=3)
103 Worker Positions {'u_2': deque([(12, 7), (12, 7), (13, 7)], maxlen=3)}
104 Worker Positions {'u_2': deque([(12, 7), (13, 7), (13, 7)], maxlen=3)}
105 Worker Positions {'u_2': deque([(13, 7), (13, 7), (13, 7)], maxlen=3)}
105 Looks like a stuck worker u_2 - deque([(13, 7), (13, 7), (13, 7)], maxlen=3)
106 Worker Positions {'u_2': deque([(13, 7), (13, 7), (12, 7)], maxlen=3)}
107 Worker Positions {'u_2': deque([(13, 7), (12, 7), (12, 7)], maxlen=3)}
108 Worker Positions {'u_2': deque([(12, 7), (12, 7), (12, 7)], maxlen=3)}
108 Looks like a stuck worker u_2 - deque([(12, 7), (12, 7), (12, 7)], maxlen=3)
109 Worker Positions {'u_2': deque([(12, 7), (12, 7), (11, 7)], maxlen=3)}
110 Worker Positions {'u_2': deque([(12, 7), (11, 7), (11, 7)], maxlen=3)}
111 Worker Positions {'u_2': deque([(11, 7), (11, 7), (11, 7)], maxlen=3)}
111 Looks like a stuck worker u_2 - deque([(11, 7), (11, 7), (11, 7)], maxlen=3)
112 Worker Positions {'u_2': deque([(11, 7), (11, 7), (11, 8)], maxlen=3)}
113 Worker Positions {'u_2': deque([(11, 7), (11, 8), (11, 8)], maxlen=3)}
114 Worker Positions {'u_2': deque([(11, 8), (11, 8), (11, 8)], maxlen=3)}
115 Worker Positions {'u_2': deque([(11, 8), (11, 8), (11, 8)], maxlen=3)}
115 Looks like a stuck worker u_2 - deque([(11, 8), (11, 8), (11, 8)], maxlen=3)
116 Worker Positions {'u_2': deque([(11, 8), (11, 8), (11, 7)], maxlen=3)}
117 Worker Positions {'u_2': deque([(11, 8), (11, 7), (11, 7)], maxlen=3)}
118 Worker Positions {'u_2': deque([(11, 7), (11, 7), (11, 7)], maxlen=3)}
119 Worker Positions {'u_2': deque([(11, 7), (11, 7), (11, 7)], maxlen=3)}
119 Looks like a stuck worker u_2 - deque([(11, 7), (11, 7), (11, 7)], maxlen=3)
120 Worker Positions {'u_2': deque([(11, 7), (11, 7), (11, 8)], maxlen=3)}
121 Worker Positions {'u_2': deque([(11, 7), (11, 8), (11, 8)], maxlen=3)}
122 Worker Positions {'u_2': deque([(11, 8), (11, 8), (11, 8)], maxlen=3)}
123 Worker Positions {'u_2': deque([(11, 8), (11, 8), (11, 8)], maxlen=3)}
123 Looks like a stuck worker u_2 - deque([(11, 8), (11, 8), (11, 8)], maxlen=3)
124 Worker Positions {'u_2': deque([(11, 8), (11, 8), (12, 8)], maxlen=3)}
125 Worker Positions {'u_2': deque([(11, 8), (12, 8), (12, 8)], maxlen=3)}
126 Worker Positions {'u_2': deque([(12, 8), (12, 8), (12, 7)], maxlen=3)}
127 Worker Positions {'u_2': deque([(12, 8), (12, 7), (12, 7)], maxlen=3)}
128 Worker Positions {'u_2': deque([(12, 7), (12, 7), (12, 6)], maxlen=3)}
129 Worker Positions {'u_2': deque([(12, 7), (12, 6), (12, 6)], maxlen=3)}
130 Worker Positions {'u_2': deque([(12, 6), (12, 6), (12, 5)], maxlen=3)}
131 Worker Positions {'u_2': deque([(12, 6), (12, 5), (12, 5)], maxlen=3)}
132 Worker Positions {'u_2': deque([(12, 5), (12, 5), (12, 4)], maxlen=3)}
133 Worker Positions {'u_2': deque([(12, 5), (12, 4), (12, 4)], maxlen=3)}
134 Worker Positions {'u_2': deque([(12, 4), (12, 4), (13, 4)], maxlen=3)}
135 Worker Positions {'u_2': deque([(12, 4), (13, 4), (13, 4)], maxlen=3)}
136 Worker Positions {'u_2': deque([(13, 4), (13, 4), (14, 4)], maxlen=3)}
137 Worker Positions {'u_2': deque([(13, 4), (14, 4), (14, 4)], maxlen=3)}
138 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 4)], maxlen=3)}
138 Looks like a stuck worker u_2 - deque([(14, 4), (14, 4), (14, 4)], maxlen=3)
139 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 5)], maxlen=3)}
140 Worker Positions {'u_2': deque([(14, 4), (14, 5), (14, 5)], maxlen=3)}
141 Worker Positions {'u_2': deque([(14, 5), (14, 5), (14, 5)], maxlen=3)}
141 Looks like a stuck worker u_2 - deque([(14, 5), (14, 5), (14, 5)], maxlen=3)
142 Worker Positions {'u_2': deque([(14, 5), (14, 5), (14, 6)], maxlen=3)}
143 Worker Positions {'u_2': deque([(14, 5), (14, 6), (14, 6)], maxlen=3)}
144 Worker Positions {'u_2': deque([(14, 6), (14, 6), (14, 6)], maxlen=3)}
144 Looks like a stuck worker u_2 - deque([(14, 6), (14, 6), (14, 6)], maxlen=3)
145 Worker Positions {'u_2': deque([(14, 6), (14, 6), (14, 7)], maxlen=3)}
146 Worker Positions {'u_2': deque([(14, 6), (14, 7), (14, 7)], maxlen=3)}
147 Worker Positions {'u_2': deque([(14, 7), (14, 7), (14, 7)], maxlen=3)}
147 Looks like a stuck worker u_2 - deque([(14, 7), (14, 7), (14, 7)], maxlen=3)
148 Worker Positions {'u_2': deque([(14, 7), (14, 7), (14, 8)], maxlen=3)}
149 Worker Positions {'u_2': deque([(14, 7), (14, 8), (14, 8)], maxlen=3)}
150 Worker Positions {'u_2': deque([(14, 8), (14, 8), (14, 8)], maxlen=3)}
150 Looks like a stuck worker u_2 - deque([(14, 8), (14, 8), (14, 8)], maxlen=3)
151 Worker Positions {'u_2': deque([(14, 8), (14, 8), (14, 7)], maxlen=3)}
152 Worker Positions {'u_2': deque([(14, 8), (14, 7), (14, 7)], maxlen=3)}
153 Worker Positions {'u_2': deque([(14, 7), (14, 7), (14, 7)], maxlen=3)}
154 Worker Positions {'u_2': deque([(14, 7), (14, 7), (14, 7)], maxlen=3)}
154 Looks like a stuck worker u_2 - deque([(14, 7), (14, 7), (14, 7)], maxlen=3)
155 Worker Positions {'u_2': deque([(14, 7), (14, 7), (15, 7)], maxlen=3)}
156 Worker Positions {'u_2': deque([(14, 7), (15, 7), (15, 7)], maxlen=3)}
157 Worker Positions {'u_2': deque([(15, 7), (15, 7), (15, 7)], maxlen=3)}
158 Worker Positions {'u_2': deque([(15, 7), (15, 7), (15, 7)], maxlen=3)}
158 Looks like a stuck worker u_2 - deque([(15, 7), (15, 7), (15, 7)], maxlen=3)
159 Worker Positions {'u_2': deque([(15, 7), (15, 7), (14, 7)], maxlen=3)}
160 Worker Positions {'u_2': deque([(15, 7), (14, 7), (14, 7)], maxlen=3)}
161 Worker Positions {'u_2': deque([(14, 7), (14, 7), (14, 7)], maxlen=3)}
162 Worker Positions {'u_2': deque([(14, 7), (14, 7), (14, 7)], maxlen=3)}
162 Looks like a stuck worker u_2 - deque([(14, 7), (14, 7), (14, 7)], maxlen=3)
163 Worker Positions {'u_2': deque([(14, 7), (14, 7), (13, 7)], maxlen=3)}
164 Worker Positions {'u_2': deque([(14, 7), (13, 7), (13, 7)], maxlen=3)}
165 Worker Positions {'u_2': deque([(13, 7), (13, 7), (13, 6)], maxlen=3)}
166 Worker Positions {'u_2': deque([(13, 7), (13, 6), (13, 6)], maxlen=3)}
167 Worker Positions {'u_2': deque([(13, 6), (13, 6), (13, 5)], maxlen=3)}
168 Worker Positions {'u_2': deque([(13, 6), (13, 5), (13, 5)], maxlen=3)}
169 Worker Positions {'u_2': deque([(13, 5), (13, 5), (13, 5)], maxlen=3)}
169 Looks like a stuck worker u_2 - deque([(13, 5), (13, 5), (13, 5)], maxlen=3)
170 Worker Positions {'u_2': deque([(13, 5), (13, 5), (14, 5)], maxlen=3)}
171 Worker Positions {'u_2': deque([(13, 5), (14, 5), (14, 5)], maxlen=3)}
172 Worker Positions {'u_2': deque([(14, 5), (14, 5), (14, 5)], maxlen=3)}
172 Looks like a stuck worker u_2 - deque([(14, 5), (14, 5), (14, 5)], maxlen=3)
173 Worker Positions {'u_2': deque([(14, 5), (14, 5), (14, 4)], maxlen=3)}
174 Worker Positions {'u_2': deque([(14, 5), (14, 4), (14, 4)], maxlen=3)}
175 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 4)], maxlen=3)}
175 Looks like a stuck worker u_2 - deque([(14, 4), (14, 4), (14, 4)], maxlen=3)
176 Worker Positions {'u_2': deque([(14, 4), (14, 4), (13, 4)], maxlen=3)}
177 Worker Positions {'u_2': deque([(14, 4), (13, 4), (13, 4)], maxlen=3)}
178 Worker Positions {'u_2': deque([(13, 4), (13, 4), (13, 4)], maxlen=3)}
178 Looks like a stuck worker u_2 - deque([(13, 4), (13, 4), (13, 4)], maxlen=3)
179 Worker Positions {'u_2': deque([(13, 4), (13, 4), (14, 4)], maxlen=3)}
180 Worker Positions {'u_2': deque([(13, 4), (14, 4), (14, 4)], maxlen=3)}
181 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 4)], maxlen=3)}
181 Looks like a stuck worker u_2 - deque([(14, 4), (14, 4), (14, 4)], maxlen=3)
182 Worker Positions {'u_2': deque([(14, 4), (14, 4), (15, 4)], maxlen=3)}
183 Worker Positions {'u_2': deque([(14, 4), (15, 4), (15, 4)], maxlen=3)}
184 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 4)], maxlen=3)}
184 Looks like a stuck worker u_2 - deque([(15, 4), (15, 4), (15, 4)], maxlen=3)
185 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 3)], maxlen=3)}
186 Worker Positions {'u_2': deque([(15, 4), (15, 3), (15, 3)], maxlen=3)}
187 Worker Positions {'u_2': deque([(15, 3), (15, 3), (15, 3)], maxlen=3)}
187 Looks like a stuck worker u_2 - deque([(15, 3), (15, 3), (15, 3)], maxlen=3)
188 Worker Positions {'u_2': deque([(15, 3), (15, 3), (15, 4)], maxlen=3)}
189 Worker Positions {'u_2': deque([(15, 3), (15, 4), (15, 4)], maxlen=3)}
190 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 4)], maxlen=3)}
190 Looks like a stuck worker u_2 - deque([(15, 4), (15, 4), (15, 4)], maxlen=3)
191 Worker Positions {'u_2': deque([(15, 4), (15, 4), (14, 4)], maxlen=3)}
192 Worker Positions {'u_2': deque([(15, 4), (14, 4), (14, 4)], maxlen=3)}
193 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 4)], maxlen=3)}
194 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 4)], maxlen=3)}
194 Looks like a stuck worker u_2 - deque([(14, 4), (14, 4), (14, 4)], maxlen=3)
195 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 3)], maxlen=3)}
196 Worker Positions {'u_2': deque([(14, 4), (14, 3), (14, 3)], maxlen=3)}
197 Worker Positions {'u_2': deque([(14, 3), (14, 3), (14, 3)], maxlen=3)}
198 Worker Positions {'u_2': deque([(14, 3), (14, 3), (14, 3)], maxlen=3)}
198 Looks like a stuck worker u_2 - deque([(14, 3), (14, 3), (14, 3)], maxlen=3)
199 Worker Positions {'u_2': deque([(14, 3), (14, 3), (14, 4)], maxlen=3)}
200 Worker Positions {'u_2': deque([(14, 3), (14, 4), (14, 4)], maxlen=3)}
201 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 4)], maxlen=3)}
202 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 4)], maxlen=3)}
202 Looks like a stuck worker u_2 - deque([(14, 4), (14, 4), (14, 4)], maxlen=3)
203 Worker Positions {'u_2': deque([(14, 4), (14, 4), (13, 4)], maxlen=3)}
204 Worker Positions {'u_2': deque([(14, 4), (13, 4), (13, 4)], maxlen=3)}
205 Worker Positions {'u_2': deque([(13, 4), (13, 4), (13, 4)], maxlen=3)}
205 Looks like a stuck worker u_2 - deque([(13, 4), (13, 4), (13, 4)], maxlen=3)
206 Worker Positions {'u_2': deque([(13, 4), (13, 4), (14, 4)], maxlen=3)}
207 Worker Positions {'u_2': deque([(13, 4), (14, 4), (14, 4)], maxlen=3)}
208 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 4)], maxlen=3)}
208 Looks like a stuck worker u_2 - deque([(14, 4), (14, 4), (14, 4)], maxlen=3)
209 Worker Positions {'u_2': deque([(14, 4), (14, 4), (14, 3)], maxlen=3)}
210 Worker Positions {'u_2': deque([(14, 4), (14, 3), (14, 3)], maxlen=3)}
211 Worker Positions {'u_2': deque([(14, 3), (14, 3), (14, 3)], maxlen=3)}
211 Looks like a stuck worker u_2 - deque([(14, 3), (14, 3), (14, 3)], maxlen=3)
212 Worker Positions {'u_2': deque([(14, 3), (14, 3), (15, 3)], maxlen=3)}
213 Worker Positions {'u_2': deque([(14, 3), (15, 3), (15, 3)], maxlen=3)}
214 Worker Positions {'u_2': deque([(15, 3), (15, 3), (15, 3)], maxlen=3)}
214 Looks like a stuck worker u_2 - deque([(15, 3), (15, 3), (15, 3)], maxlen=3)
215 Worker Positions {'u_2': deque([(15, 3), (15, 3), (15, 4)], maxlen=3)}
216 Worker Positions {'u_2': deque([(15, 3), (15, 4), (15, 4)], maxlen=3)}
217 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 4)], maxlen=3)}
217 Looks like a stuck worker u_2 - deque([(15, 4), (15, 4), (15, 4)], maxlen=3)
218 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 5)], maxlen=3)}
219 Worker Positions {'u_2': deque([(15, 4), (15, 5), (15, 5)], maxlen=3)}
220 Worker Positions {'u_2': deque([(15, 5), (15, 5), (15, 5)], maxlen=3)}
220 Looks like a stuck worker u_2 - deque([(15, 5), (15, 5), (15, 5)], maxlen=3)
221 Worker Positions {'u_2': deque([(15, 5), (15, 5), (15, 4)], maxlen=3)}
222 Worker Positions {'u_2': deque([(15, 5), (15, 4), (15, 4)], maxlen=3)}
223 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 4)], maxlen=3)}
223 Looks like a stuck worker u_2 - deque([(15, 4), (15, 4), (15, 4)], maxlen=3)
224 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 4)], maxlen=3)}
224 Looks like a stuck worker u_2 - deque([(15, 4), (15, 4), (15, 4)], maxlen=3)
225 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 4)], maxlen=3)}
225 Looks like a stuck worker u_2 - deque([(15, 4), (15, 4), (15, 4)], maxlen=3)
226 Worker Positions {'u_2': deque([(15, 4), (15, 4), (15, 3)], maxlen=3)}
227 Worker Positions {'u_2': deque([(15, 4), (15, 3), (15, 3)], maxlen=3)}
228 Worker Positions {'u_2': deque([(15, 3), (15, 3), (15, 3)], maxlen=3)}
228 Looks like a stuck worker u_2 - deque([(15, 3), (15, 3), (15, 3)], maxlen=3)
229 Worker Positions {'u_2': deque([(15, 3), (15, 3), (14, 3)], maxlen=3)}
230 Worker Positions {'u_2': deque([(15, 3), (14, 3), (14, 3)], maxlen=3)}
231 Worker Positions {'u_2': deque([(14, 3), (14, 3), (14, 3)], maxlen=3)}
231 Looks like a stuck worker u_2 - deque([(14, 3), (14, 3), (14, 3)], maxlen=3)
232 Worker Positions {'u_2': deque([(14, 3), (14, 3), (13, 3)], maxlen=3)}
233 Worker Positions {'u_2': deque([(14, 3), (13, 3), (13, 3)], maxlen=3)}
234 Worker Positions {'u_2': deque([(13, 3), (13, 3), (13, 3)], maxlen=3)}
235 Worker Positions {'u_2': deque([(13, 3), (13, 3), (13, 3)], maxlen=3)}
235 Looks like a stuck worker u_2 - deque([(13, 3), (13, 3), (13, 3)], maxlen=3)
